Time,Altitude
8:00:00,0
8:00:15,250
8:00:30,500
8:00:45,750
8:01:00,1000
8:01:15,1250
8:01:30,1500
8:01:45,1750
8:02:00,2000
8:02:15,2250
8:02:30,2500
8:02:45,2750
8:03:00,3000
8:03:15,3250
8:03:30,3500
8:03:45,3750
8:04:00,4000
8:04:15,4250
8:04:30,4500
8:04:45,4750
8:05:00,5000
8:05:15,5250
8:05:30,5500
8:05:45,5750
8:06:00,6000
8:06:15,6250
8:06:30,6500
8:06:45,6750
8:07:00,7000
8:07:15,7250
8:07:30,7500
8:07:45,7750
8:08:00,8000
8:08:15,8250
8:08:30,8500
8:08:45,8750
8:09:00,9000
8:09:15,9250
8:09:30,9500
8:09:45,9750
8:10:00,10000
8:10:15,10250
8:10:30,10500
8:10:45,10750
8:11:00,11000
8:11:15,11250
8:11:30,11500
8:11:45,11750
8:12:00,12000
8:12:15,12250
8:12:30,12500
8:12:45,12750
8:13:00,13000
8:13:15,13250
8:13:30,13500
8:13:45,13750
8:14:00,14000
8:14:15,14250
8:14:30,14500
8:14:45,14750
8:15:00,15000
8:15:15,15250
8:15:30,15500
8:15:45,15750
8:16:00,16000
8:16:15,16250
8:16:30,16500
8:16:45,16750
8:17:00,17000
8:17:15,17250
8:17:30,17500
8:17:45,17750
8:18:00,18000
8:18:15,18250
8:18:30,18500
8:18:45,18750
8:19:00,19000
8:19:15,19250
8:19:30,19500
8:19:45,19750
8:20:00,20000
8:20:15,20250
8:20:30,20500
8:20:45,20750
8:21:00,21000
8:21:15,21250
8:21:30,21500
8:21:45,21750
8:22:00,22000
8:22:15,22250
8:22:30,22500
8:22:45,22750
8:23:00,23000
8:23:15,23250
8:23:30,23500
8:23:45,23750
8:24:00,24000
8:24:15,24250
8:24:30,24500
8:24:45,24750
8:25:00,25000
8:25:15,25250
8:25:30,25500
8:25:45,25750
8:26:00,26000
8:26:15,26250
8:26:30,26500
8:26:45,26750
8:27:00,27000
8:27:15,27250
8:27:30,27500
8:27:45,27750
8:28:00,28000
8:28:15,28250
8:28:30,28500
8:28:45,28750
8:29:00,29000
8:29:15,29250
8:29:30,29500
8:29:45,29750
8:30:00,30000
8:30:15,30250
8:30:30,30500
8:30:45,30750
8:31:00,31000
8:31:15,31250
8:31:30,31500
8:31:45,31750
8:32:00,32000
8:32:15,31985
8:32:30,31970
8:32:45,31955
8:33:00,31940
8:33:15,31925
8:33:30,31910
8:33:45,31895
8:34:00,31880
8:34:15,31865
8:34:30,31850
8:34:45,31835
8:35:00,31820
8:35:15,31805
8:35:30,31790
8:35:45,31775
8:36:00,31760
8:36:15,31745
8:36:30,31730
8:36:45,31715
8:37:00,31700
8:37:15,31685
8:37:30,31670
8:37:45,31655
8:38:00,31640
8:38:15,31625
8:38:30,31610
8:38:45,31595
8:39:00,31580
8:39:15,31565
8:39:30,31550
8:39:45,31535
8:40:00,31520
8:40:15,31505
8:40:30,31490
8:40:45,31475
8:41:00,31460
8:41:15,31445
8:41:30,31430
8:41:45,31415
8:42:00,31400
8:42:15,31385
8:42:30,31370
8:42:45,31355
8:43:00,31340
8:43:15,31325
8:43:30,31310
8:43:45,31295
8:44:00,31280
8:44:15,31265
8:44:30,31250
8:44:45,31235
8:45:00,31220
8:45:15,31205
8:45:30,31190
8:45:45,31175
8:46:00,31160
8:46:15,31145
8:46:30,31130
8:46:45,31115
8:47:00,31100
8:47:15,31085
8:47:30,31070
8:47:45,31055
8:48:00,31040
8:48:15,31025
8:48:30,31010
8:48:45,30995
8:49:00,30980
8:49:15,30965
8:49:30,30950
8:49:45,30935
8:50:00,30920
8:50:15,30905
8:50:30,30890
8:50:45,30875
8:51:00,30860
8:51:15,30845
8:51:30,30830
8:51:45,30815
8:52:00,30800
8:52:15,30785
8:52:30,30770
8:52:45,30755
8:53:00,30740
8:53:15,30725
8:53:30,30710
8:53:45,30695
8:54:00,30680
8:54:15,30665
8:54:30,30650
8:54:45,30635
8:55:00,30620
8:55:15,30605
8:55:30,30590
8:55:45,30575
8:56:00,30560
8:56:15,30545
8:56:30,30530
8:56:45,30515
8:57:00,30500
8:57:15,30485
8:57:30,30470
8:57:45,30455
8:58:00,30440
8:58:15,30425
8:58:30,30410
8:58:45,30395
8:59:00,30380
8:59:15,30365
8:59:30,30350
8:59:45,30335
9:00:00,30320
9:00:15,30305
9:00:30,30290
9:00:45,30275
9:01:00,30260
